number,name,sector
10,Borogo Holdings (Pty) Ltd t/a Khana Capital,Exempted Finance Companies
11,Brand Nu Agency (Pty) Ltd t/a Purchase Order Finance,Exempted Finance Companies
12,Business Portal (Pty) Ltd,Exempted Finance Companies
13,Capital Value (Pty) Ltd,Exempted Finance Companies
14,Chaba Capfund (Pty) Ltd,Exempted Finance Companies
15,Chameleons (Pty) Ltd,Exempted Finance Companies
16,Current Future (Pty) Ltd T/a Vision Pula,Exempted Finance Companies
17,Destiny Drive (Pty) Ltd,Exempted Finance Companies
18,EDFACT,Exempted Finance Companies
19,Everrain Capital (Pty) Ltd,Exempted Finance Companies
20,Fiki Lame Enterprises (Pty) Ltd t/a Mawatle Purchase Order,Exempted Finance Companies
1,Active Drive (Pty) Ltd,Exempted Finance Companies
2,Africa Origin Khumoetsile (Pty) Ltd,Exempted Finance Companies
3,Agora Microfinance Botswana (Pty) Ltd (Financing Company),Exempted Finance Companies
4,Bakim Invesments (Pty) Ltd,Exempted Finance Companies
5,Basmod (Pty) Ltd,Exempted Finance Companies
6,Benchmark Capital,Exempted Finance Companies
7,Benning (Pty) Ltd,Exempted Finance Companies
8,Blue Jay Capital (Pty) Ltd,Exempted Finance Companies
9,Boop-Kono Capital,Exempted Finance Companies
10,Borogo Holdings (Pty) Ltd t/a Khana Capital,Exempted Finance Companies
11,Brand Nu Agency (Pty) Ltd t/a Purchase Order Finance,Exempted Finance Companies
12,Business Portal (Pty) Ltd,Exempted Finance Companies
13,Capital Value (Pty) Ltd,Exempted Finance Companies
14,Chaba Capfund (Pty) Ltd,Exempted Finance Companies
15,Chameleons (Pty) Ltd,Exempted Finance Companies
16,Current Future (Pty) Ltd T/a Vision Pula,Exempted Finance Companies
17,Destiny Drive (Pty) Ltd,Exempted Finance Companies
18,EDFACT,Exempted Finance Companies
19,Everrain Capital (Pty) Ltd,Exempted Finance Companies
20,Fiki Lame Enterprises (Pty) Ltd t/a Mawatle Purchase Order,Exempted Finance Companies
1,Active Drive (Pty) Ltd,Exempted Finance Companies
2,Africa Origin Khumoetsile (Pty) Ltd,Exempted Finance Companies
3,Agora Microfinance Botswana (Pty) Ltd (Financing Company),Exempted Finance Companies
4,Bakim Invesments (Pty) Ltd,Exempted Finance Companies
5,Basmod (Pty) Ltd,Exempted Finance Companies
6,Benchmark Capital,Exempted Finance Companies
7,Benning (Pty) Ltd,Exempted Finance Companies
8,Blue Jay Capital (Pty) Ltd,Exempted Finance Companies
9,Boop-Kono Capital,Exempted Finance Companies
10,Borogo Holdings (Pty) Ltd t/a Khana Capital,Exempted Finance Companies
11,Brand Nu Agency (Pty) Ltd t/a Purchase Order Finance,Exempted Finance Companies
12,Business Portal (Pty) Ltd,Exempted Finance Companies
13,Capital Value (Pty) Ltd,Exempted Finance Companies
14,Chaba Capfund (Pty) Ltd,Exempted Finance Companies
15,Chameleons (Pty) Ltd,Exempted Finance Companies
16,Current Future (Pty) Ltd T/a Vision Pula,Exempted Finance Companies
17,Destiny Drive (Pty) Ltd,Exempted Finance Companies
18,EDFACT,Exempted Finance Companies
19,Everrain Capital (Pty) Ltd,Exempted Finance Companies
20,Fiki Lame Enterprises (Pty) Ltd t/a Mawatle Purchase Order,Exempted Finance Companies
1,Active Drive (Pty) Ltd,Exempted Finance Companies
2,Africa Origin Khumoetsile (Pty) Ltd,Exempted Finance Companies
3,Agora Microfinance Botswana (Pty) Ltd (Financing Company),Exempted Finance Companies
4,Bakim Invesments (Pty) Ltd,Exempted Finance Companies
5,Basmod (Pty) Ltd,Exempted Finance Companies
6,Benchmark Capital,Exempted Finance Companies
7,Benning (Pty) Ltd,Exempted Finance Companies
8,Blue Jay Capital (Pty) Ltd,Exempted Finance Companies
9,Boop-Kono Capital,Exempted Finance Companies
10,Borogo Holdings (Pty) Ltd t/a Khana Capital,Exempted Finance Companies
11,Brand Nu Agency (Pty) Ltd t/a Purchase Order Finance,Exempted Finance Companies
12,Business Portal (Pty) Ltd,Exempted Finance Companies
13,Capital Value (Pty) Ltd,Exempted Finance Companies
14,Chaba Capfund (Pty) Ltd,Exempted Finance Companies
15,Chameleons (Pty) Ltd,Exempted Finance Companies
16,Current Future (Pty) Ltd T/a Vision Pula,Exempted Finance Companies
17,Destiny Drive (Pty) Ltd,Exempted Finance Companies
18,EDFACT,Exempted Finance Companies
19,Everrain Capital (Pty) Ltd,Exempted Finance Companies
20,Fiki Lame Enterprises (Pty) Ltd t/a Mawatle Purchase Order,Exempted Finance Companies
1,Active Drive (Pty) Ltd,Exempted Finance Companies
2,Africa Origin Khumoetsile (Pty) Ltd,Exempted Finance Companies
3,Agora Microfinance Botswana (Pty) Ltd (Financing Company),Exempted Finance Companies
4,Bakim Invesments (Pty) Ltd,Exempted Finance Companies
5,Basmod (Pty) Ltd,Exempted Finance Companies
6,Benchmark Capital,Exempted Finance Companies
7,Benning (Pty) Ltd,Exempted Finance Companies
8,Blue Jay Capital (Pty) Ltd,Exempted Finance Companies
9,Boop-Kono Capital,Exempted Finance Companies
10,Borogo Holdings (Pty) Ltd t/a Khana Capital,Exempted Finance Companies
11,Brand Nu Agency (Pty) Ltd t/a Purchase Order Finance,Exempted Finance Companies
12,Business Portal (Pty) Ltd,Exempted Finance Companies
13,Capital Value (Pty) Ltd,Exempted Finance Companies
14,Chaba Capfund (Pty) Ltd,Exempted Finance Companies
15,Chameleons (Pty) Ltd,Exempted Finance Companies
16,Current Future (Pty) Ltd T/a Vision Pula,Exempted Finance Companies
17,Destiny Drive (Pty) Ltd,Exempted Finance Companies
18,EDFACT,Exempted Finance Companies
19,Everrain Capital (Pty) Ltd,Exempted Finance Companies
20,Fiki Lame Enterprises (Pty) Ltd t/a Mawatle Purchase Order,Exempted Finance Companies
1,Active Drive (Pty) Ltd,Exempted Finance Companies
2,Africa Origin Khumoetsile (Pty) Ltd,Exempted Finance Companies
3,Agora Microfinance Botswana (Pty) Ltd (Financing Company),Exempted Finance Companies
4,Bakim Invesments (Pty) Ltd,Exempted Finance Companies
5,Basmod (Pty) Ltd,Exempted Finance Companies
6,Benchmark Capital,Exempted Finance Companies
7,Benning (Pty) Ltd,Exempted Finance Companies
8,Blue Jay Capital (Pty) Ltd,Exempted Finance Companies
9,Boop-Kono Capital,Exempted Finance Companies
10,Borogo Holdings (Pty) Ltd t/a Khana Capital,Exempted Finance Companies
11,Brand Nu Agency (Pty) Ltd t/a Purchase Order Finance,Exempted Finance Companies
12,Business Portal (Pty) Ltd,Exempted Finance Companies
13,Capital Value (Pty) Ltd,Exempted Finance Companies
14,Chaba Capfund (Pty) Ltd,Exempted Finance Companies
15,Chameleons (Pty) Ltd,Exempted Finance Companies
16,Current Future (Pty) Ltd T/a Vision Pula,Exempted Finance Companies
17,Destiny Drive (Pty) Ltd,Exempted Finance Companies
18,EDFACT,Exempted Finance Companies
19,Everrain Capital (Pty) Ltd,Exempted Finance Companies
20,Fiki Lame Enterprises (Pty) Ltd t/a Mawatle Purchase Order,Exempted Finance Companies
1,Active Drive (Pty) Ltd,Exempted Finance Companies
2,Africa Origin Khumoetsile (Pty) Ltd,Exempted Finance Companies
3,Agora Microfinance Botswana (Pty) Ltd (Financing Company),Exempted Finance Companies
4,Bakim Invesments (Pty) Ltd,Exempted Finance Companies
5,Basmod (Pty) Ltd,Exempted Finance Companies
6,Benchmark Capital,Exempted Finance Companies
7,Benning (Pty) Ltd,Exempted Finance Companies
8,Blue Jay Capital (Pty) Ltd,Exempted Finance Companies
9,Boop-Kono Capital,Exempted Finance Companies
10,Borogo Holdings (Pty) Ltd t/a Khana Capital,Exempted Finance Companies
11,Brand Nu Agency (Pty) Ltd t/a Purchase Order Finance,Exempted Finance Companies
12,Business Portal (Pty) Ltd,Exempted Finance Companies
13,Capital Value (Pty) Ltd,Exempted Finance Companies
14,Chaba Capfund (Pty) Ltd,Exempted Finance Companies
15,Chameleons (Pty) Ltd,Exempted Finance Companies
16,Current Future (Pty) Ltd T/a Vision Pula,Exempted Finance Companies
17,Destiny Drive (Pty) Ltd,Exempted Finance Companies
18,EDFACT,Exempted Finance Companies
19,Everrain Capital (Pty) Ltd,Exempted Finance Companies
20,Fiki Lame Enterprises (Pty) Ltd t/a Mawatle Purchase Order,Exempted Finance Companies
1,Active Drive (Pty) Ltd,Exempted Finance Companies
2,Africa Origin Khumoetsile (Pty) Ltd,Exempted Finance Companies
3,Agora Microfinance Botswana (Pty) Ltd (Financing Company),Exempted Finance Companies
4,Bakim Invesments (Pty) Ltd,Exempted Finance Companies
5,Basmod (Pty) Ltd,Exempted Finance Companies
6,Benchmark Capital,Exempted Finance Companies
7,Benning (Pty) Ltd,Exempted Finance Companies
8,Blue Jay Capital (Pty) Ltd,Exempted Finance Companies
9,Boop-Kono Capital,Exempted Finance Companies
10,Borogo Holdings (Pty) Ltd t/a Khana Capital,Exempted Finance Companies
11,Brand Nu Agency (Pty) Ltd t/a Purchase Order Finance,Exempted Finance Companies
12,Business Portal (Pty) Ltd,Exempted Finance Companies
13,Capital Value (Pty) Ltd,Exempted Finance Companies
14,Chaba Capfund (Pty) Ltd,Exempted Finance Companies
15,Chameleons (Pty) Ltd,Exempted Finance Companies
16,Current Future (Pty) Ltd T/a Vision Pula,Exempted Finance Companies
17,Destiny Drive (Pty) Ltd,Exempted Finance Companies
18,EDFACT,Exempted Finance Companies
19,Everrain Capital (Pty) Ltd,Exempted Finance Companies
20,Fiki Lame Enterprises (Pty) Ltd t/a Mawatle Purchase Order,Exempted Finance Companies
